cell,celliso,iso,lon,lat,lpj
GLO.4456,BWA.4456,BWA,23.75,-25.25,32720
GLO.4457,BWA.4457,BWA,23.75,-24.75,32721
GLO.4458,BWA.4458,BWA,23.75,-24.25,32722
GLO.4459,BWA.4459,BWA,23.75,-23.75,32723
GLO.4460,BWA.4460,BWA,23.75,-23.25,32724
GLO.4461,BWA.4461,BWA,23.75,-22.75,32725
GLO.4462,BWA.4462,BWA,23.75,-22.25,32726
GLO.4463,BWA.4463,BWA,23.75,-21.75,32727
GLO.4464,BWA.4464,BWA,23.75,-21.25,32728
GLO.4465,BWA.4465,BWA,23.75,-20.75,32729
GLO.4466,BWA.4466,BWA,23.75,-20.25,32730
GLO.4467,BWA.4467,BWA,23.75,-19.75,32731
GLO.4468,BWA.4468,BWA,23.75,-19.25,32732
GLO.4469,BWA.4469,BWA,23.75,-18.75,32733
GLO.4470,NAM.4470,NAM,23.75,-18.25,32734
GLO.4471,NAM.4471,NAM,23.75,-17.75,32735
GLO.4472,ZMB.4472,ZMB,23.75,-17.25,32736
GLO.4473,ZMB.4473,ZMB,23.75,-16.75,32737
GLO.4474,ZMB.4474,ZMB,23.75,-16.25,32738
GLO.4475,ZMB.4475,ZMB,23.75,-15.75,32739
GLO.4476,ZMB.4476,ZMB,23.75,-15.25,32740
GLO.4477,ZMB.4477,ZMB,23.75,-14.75,32741
GLO.4478,ZMB.4478,ZMB,23.75,-14.25,32742
GLO.4479,ZMB.4479,ZMB,23.75,-13.75,32743
GLO.4480,ZMB.4480,ZMB,23.75,-13.25,32744
GLO.4481,AGO.4481,AGO,23.75,-12.75,32745
GLO.4482,AGO.4482,AGO,23.75,-12.25,32746
GLO.4483,AGO.4483,AGO,23.75,-11.75,32747
GLO.4484,AGO.4484,AGO,23.75,-11.25,32748
GLO.4485,COD.4485,COD,23.75,-10.75,32749
GLO.4486,COD.4486,COD,23.75,-10.25,32750
GLO.4487,COD.4487,COD,23.75,-9.75,32751
GLO.4488,COD.4488,COD,23.75,-9.25,32752
GLO.4489,COD.4489,COD,23.75,-8.75,32753
GLO.4490,COD.4490,COD,23.75,-8.25,32754
GLO.4491,COD.4491,COD,23.75,-7.75,32755
GLO.4492,COD.4492,COD,23.75,-7.25,32756
GLO.4493,COD.4493,COD,23.75,-6.75,32757
GLO.4494,COD.4494,COD,23.75,-6.25,32758
GLO.4495,COD.4495,COD,23.75,-5.75,32759
GLO.4496,COD.4496,COD,23.75,-5.25,32760
GLO.4497,COD.4497,COD,23.75,-4.75,32761
GLO.4498,COD.4498,COD,23.75,-4.25,32762
GLO.4499,COD.4499,COD,23.75,-3.75,32763
GLO.4500,COD.4500,COD,23.75,-3.25,32764
GLO.4501,COD.4501,COD,23.75,-2.75,32765
GLO.4502,COD.4502,COD,23.75,-2.25,32766
GLO.4503,COD.4503,COD,23.75,-1.75,32767
GLO.4504,COD.4504,COD,23.75,-1.25,32768
GLO.4505,COD.4505,COD,23.75,-0.75,32769
GLO.4506,COD.4506,COD,23.75,-0.25,32770
GLO.4507,COD.4507,COD,23.75,0.25,32771
GLO.4508,COD.4508,COD,23.75,0.75,32772
GLO.4509,COD.4509,COD,23.75,1.25,32773
GLO.4510,COD.4510,COD,23.75,1.75,32774
GLO.4511,COD.4511,COD,23.75,2.25,32775
GLO.4512,COD.4512,COD,23.75,2.75,32776
GLO.4513,COD.4513,COD,23.75,3.25,32777
