"","ISO","alri","ihd","copd","stroke","lc"
"341","ITA",89.3850661501755,29.9417937637669,236.321469688919,42.6863060930763,28.2781386094987
"347","JAM",88.0976907402929,31.018881643925,157.890688984944,45.3760665993695,28.1561522980122
"353","JOR",88.896049499587,NA,NA,NA,NA
"355","KHM",89.4084009346195,30.563305517511,139.586409494791,42.3152396478292,28.2926221971376
"366","KWT",88.6402166085562,30.6753794366885,135.912700924725,41.5630836114421,28.3073040190135
"376","QAT",87.9952808336833,30.2349408015617,117.677745387087,38.3529510293506,NA
"381","SYC",88.4967791396742,29.9619788784563,105.552777855985,43.1724428010373,28.2993489820313
"387","TJK",89.913272145364,32.1002657253843,242.544869783245,47.108510300285,28.2357109898762
"393","TKM",89.0684141654572,30.7679870825056,300.505214213001,52.4374927480964,28.2856883653543
"399","VUT",88.2958074107279,29.4456415967207,152.157411867743,37.8868989476552,28.2564463223544
"411","COL",90.5598674232983,29.2160560955864,99.0509256186287,35.0575319488206,28.1641097101203
"417","YEM",88.3075201747974,29.0199160159527,49.8991187367689,34.1725364384824,28.1743906734198
"423","CHL",89.9392800472403,29.0093376942143,106.595114076947,48.4364658640041,28.3027273760717
"429","WSM",89.0348223066057,NA,86.720840255665,42.0891841191981,NA
"443","BHR",NA,29.5962996070998,50.0944511095213,30.9308395573271,28.1948945184811
"447","DJI",87.954177015589,29.2480380838274,74.7905521807188,31.4994312917186,28.1655558327843
"453","ECU",87.396459759492,29.6874160220072,57.1893566144359,31.1373342970398,28.1956975472389
"465","GTM",87.5667533777435,29.2083240586971,58.6663257308889,30.4776311577021,28.1897529243312
"477","HUN",87.2727143087064,28.8291489843747,54.4142041614464,29.3059497575405,28.2226850767029
"483","JPN",87.9096185316502,29.9082499985676,54.5223029596881,30.287167577258,28.1985094170125
"495","SDN",87.6093838512441,29.0304370470103,63.2373545393911,30.1853876478669,28.2036689846168
"501","TGO",87.4483001220277,29.1609973236709,59.9773303196464,29.9508470027299,28.1921413702811
"507","UGA",87.6917727693135,NA,65.0562951244737,NA,28.187321324745
"518","UKR",NA,NA,NA,NA,NA
"519","CPV",88.0196748369903,29.7597846973404,78.5590232877647,32.3887752568763,28.1636990823802
"525","CYP",90.6923176226982,29.6458415793588,94.6659762450304,32.9440731352784,NA
"530","EST",88.4146969861574,28.8992730062842,76.8309368050227,31.6475153819686,28.1982226057339
"536","GUY",87.1968099640998,29.2459455842643,77.5722208797108,30.7484438376329,28.2134842688209
"542","IDN",89.4283735302064,28.695665886622,58.8587453351074,30.8511919735724,28.2082696997701
